Neighbourhood,Latitude,Longitude
"Allied Gardens, San Diego",32.79633000000007,-117.09450999999996
"Alta Vista, San Diego",32.693160000000034,-117.06778999999995
"Alvarado Estates, San Diego",32.77722977470506,-117.05725645116517
"Azalea Park, San Diego",32.73284000000007,-117.10775999999998
"Bankers Hill, San Diego",32.72849000000008,-117.16141999999996
"Barrio Logan, San Diego",32.69467000000003,-117.13807999999995
"Bay Terraces, San Diego",32.69166000000007,-117.04083999999995
"Bird Rock, San Diego",32.813120000000026,-117.26510999999999
"Birdland, San Diego",32.793150000000026,-117.15431999999998
"Black Mountain Ranch, San Diego",32.99950000000007,-117.14514999999994
"Broadway Heights, San Diego",32.73105000000004,-117.05379999999997
"Burlingame, San Diego",32.73375974652356,-117.12734315331029
"Carmel Mountain Ranch, San Diego",32.97883842044885,-117.08523692633462
"Chollas View, San Diego",32.715050000000076,-117.09302999999994
"City Heights, San Diego",32.749690000000044,-117.10714999999999
"Civita, San Diego",32.777372655863424,-117.14773216733681
"Clairemont, San Diego",32.83457000000004,-117.19462999999996
"College Area, San Diego",32.791557606429606,-117.06606530901291
"Columbia, San Diego",32.72231709163447,-117.16740310892881
"Core, San Diego",32.71568000000008,-117.16170999999997
"Cortez Hill, San Diego",32.72316477734785,-117.15877165368126
"Del Cerro, San Diego",32.78762000000006,-117.06416999999999
"Del Mar Heights, San Diego",32.948390000000074,-117.25991999999997
"Del Mar Mesa, San Diego",32.942570000000046,-117.18641999999994
Downtown San Diego,32.71956000000006,-117.15539999999999
Dryden Historic District (San Diego),32.753660000000025,-117.19447999999994
"East Elliott, San Diego",32.742983549521625,-117.22094533588752
"East Village, San Diego",32.71153000000004,-117.14968999999996
"Egger Highlands, San Diego",32.58131000000003,-117.09698999999995
"El Cerrito, San Diego",32.75467000000003,-117.07290999999998
El Pueblo Ribera,32.79574000000002,-117.25350999999995
"Emerald Hills, San Diego",32.71551000000005,-117.07630999999998
"Encanto, San Diego",32.720470000000034,-117.05887999999999
"Fairmount Park, San Diego",32.733370000000036,-117.10108999999994
Fairway Village,32.83756759072087,-117.26238839101372
"Gaslamp Quarter, San Diego",32.710590000000025,-117.16073999999998
"Gateway, San Diego",32.72525795875752,-117.10844168679806
"Golden Hill, San Diego",32.71586000000008,-117.13190999999995
"Grant Hill, San Diego",32.71126000000004,-117.13384999999994
"Grantville, San Diego",32.78747000000004,-117.09772999999996
"Harbor Island, San Diego",32.72523551670311,-117.20170637937817
"Harborview, San Diego",32.72715000000005,-117.17259999999999
"Hillcrest, San Diego",32.749960000000044,-117.16510999999997
"Islenair, San Diego",32.74031000000008,-117.09109999999998
"Jamacha, San Diego",32.712831121583214,-117.03653945899808
"Kearny Mesa, San Diego",32.82181000000003,-117.14961999999997
"Kensington, San Diego",32.764940000000024,-117.10501
La Jolla,32.840850000000046,-117.25779999999997
"La Jolla Village, San Diego",32.86162000000007,-117.23321999999996
"La Playa, San Diego",32.718300000000056,-117.23369999999994
"Lincoln Park, San Diego",32.699380000000076,-117.09048999999999
"Linda Vista, San Diego",32.784190000000024,-117.17134999999996
"Little Italy, San Diego",32.72586000000007,-117.1676
"Logan Heights, San Diego",32.70284000000004,-117.13740999999999
"Loma Portal, San Diego",32.74020000000007,-117.23865999999998
"Lomita, San Diego",32.76390988047549,-117.14432717406076
"Marina, San Diego",32.71096000000006,-117.16559999999998
"Marston Hills, San Diego",32.72705219258814,-117.1242533604426
"Memorial, San Diego",32.69598000000008,-117.12562999999994
"Middletown, San Diego",32.737220000000036,-117.17591999999996
"Midtown, San Diego",32.71568000000008,-117.16170999999997
"Midway, San Diego",32.714770000000044,-117.17310999999995
"Mira Mesa, San Diego",32.91225000000003,-117.15071999999998
"Miramar, San Diego",32.893610000000024,-117.1334
"Mission Beach, San Diego",32.772500000000036,-117.25121999999999
"Mission Hills, San Diego",32.752500000000055,-117.18033999999994
"Mission Valley, San Diego",32.779815069254774,-117.09752479290009
"Morena, San Diego",32.769490000000076,-117.19006999999999
"Mount Hope, San Diego",32.71148000000005,-117.10892999999999
"Mountain View, San Diego",32.703050000000076,-117.10808999999995
"Navajo, San Diego",32.80181799146506,-117.04993665508616
"Nestor, San Diego",32.576490000000035,-117.08840999999995
"Normal Heights, San Diego",32.76314000000008,-117.11004999999994
"North City, San Diego",33.045690000000036,-117.27873999999997
"North Park, San Diego",32.74526000000003,-117.13234999999997
"Oak Park, San Diego",32.734680000000026,-117.07740999999999
Ocean Beach Antique District,32.75712699798757,-117.21974943699009
"Ocean Beach, San Diego",32.74464000000006,-117.24769999999995
"Ocean View Hills, San Diego",32.568613482701686,-117.01409990760223
"Old Town, San Diego",32.75810000000007,-117.19746999999995
"Otay Mesa West, San Diego",32.57923000000005,-117.05804999999998
"Otay Mesa, San Diego",32.56751000000003,-116.96242999999998
"Pacific Beach, San Diego",32.801420000000064,-117.24136999999996
"Pacific Highlands Ranch, San Diego",32.96401891904937,-117.19209455050189
"Palm City, San Diego",32.584430000000054,-117.08406999999994
"Paradise Hills, San Diego",32.68130000000008,-117.06004999999999
"Point Loma Heights, San Diego",32.733061769628,-117.24952917189306
"Point Loma, San Diego",32.71231000000006,-117.24824999999998
"Rancho Bernardo, San Diego",33.024470000000065,-117.08504999999997
"Rancho Encantada, San Diego",32.92718000000008,-117.01959999999997
"Rancho Peñasquitos, San Diego",32.96160000000003,-117.12845999999996
"Redwood Village, San Diego",32.73846003820117,-117.11041512297713
"Rolando Park, San Diego",32.76342000000005,-117.06023999999996
"Rolando, San Diego",32.76111000000003,-117.05928999999998
"Roseville-Fleetridge, San Diego",32.72630000000004,-117.23768999999999
"Sabre Springs, San Diego",32.94473000000005,-117.09231999999997
"San Carlos, San Diego",32.80373000000003,-117.05103999999994
"San Pasqual Valley, San Diego",33.091381483900726,-116.94114282303612
"San Ysidro, San Diego",32.56175864868747,-117.06777449154765
"Serra Mesa, San Diego",32.79598000000004,-117.12493999999998
"Shelltown, San Diego",32.68665000000004,-117.10696999999999
"Shelter Island, San Diego",32.72033889603424,-117.22711178161445
"Sherman Heights, San Diego",32.71159000000006,-117.14163999999994
"Skyline, San Diego",32.70748000000003,-117.04618999999997
"Sorrento Mesa, San Diego",32.727954767899284,-117.25179110808921
"Sorrento Valley, San Diego",32.891980000000046,-117.19537999999994
"South Park, San Diego",32.72729000000004,-117.12960999999996
South San Diego,32.58378000000005,-117.09651999999994
"Southcrest, San Diego",32.69190000000003,-117.11240999999995
Southeast San Diego,32.67887062059529,-117.10987682686597
"Stingaree, San Diego",32.71568000000008,-117.16170999999997
"Stockton, San Diego",32.71176000000003,-117.12247999999994
"Sunset Cliffs, San Diego",32.728500000000054,-117.25001999999995
"Swan Canyon, San Diego",32.738050000000044,-117.09782999999999
"Talmadge, San Diego",32.76240000000007,-117.08943999999997
"Tierrasanta, San Diego",32.834700000000055,-117.07992999999999
"Tijuana River Valley, San Diego",32.544800000000066,-117.07252999999997
"Torrey Highlands, San Diego",32.966860000000054,-117.15419999999995
"Torrey Hills, San Diego",32.964510807248246,-117.23247520341013
"Torrey Pines, San Diego",32.856217053881586,-117.245580120597
"Tri-City, San Diego County, California",32.785445525148994,-117.07970600783452
"University City, San Diego",32.851440000000025,-117.21638999999999
"University Heights, San Diego",32.759070000000065,-117.14815999999996
"Valencia Park, San Diego",32.69882000000007,-117.07815999999997
Village of La Jolla,32.86162000000007,-117.23321999999996
"Webster, San Diego",32.7044629858126,-117.1185198734712
"Wooded Area, San Diego",32.71452000000005,-117.24454999999995
